		 OpenProp_Geometry.txt 

		 Propeller Geometry Table

Date and time: 16-Apr-2026

Propeller Diameter 	 = 0.1000 m
Number of Blades   	 = 4
Propeller Speed 	 = 9000 RPM
Propeller Hub Diameter 	 = 0.0150 m
Meanline  Type: NACA a=0.8
Thickness Type: 
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.1500  0.3212  0.1102  0.0352  0.6187  52.7044  0.0000  0.0000
0.2167  0.3567  0.0899  0.0335  0.7078  46.1149  0.0000  0.0000
0.2830  0.3890  0.0745  0.0319  0.7547  40.3289  0.0000  0.0000
0.3484  0.4125  0.0632  0.0302  0.7856  35.6658  0.0000  0.0000
0.4127  0.4276  0.0547  0.0286  0.8081  31.9372  0.0000  0.0000
0.4753  0.4368  0.0476  0.0270  0.8249  28.9196  0.0000  0.0000
0.5359  0.4423  0.0416  0.0254  0.8376  26.4515  0.0000  0.0000
0.5941  0.4453  0.0364  0.0239  0.8473  24.4166  0.0000  0.0000
0.6496  0.4461  0.0319  0.0225  0.8549  22.7278  0.0000  0.0000
0.7020  0.4446  0.0280  0.0212  0.8607  21.3189  0.0000  0.0000
0.7510  0.4403  0.0244  0.0199  0.8654  20.1409  0.0000  0.0000
0.7963  0.4323  0.0213  0.0188  0.8691  19.1569  0.0000  0.0000
0.8377  0.4198  0.0188  0.0177  0.8723  18.3393  0.0000  0.0000
0.8747  0.4018  0.0168  0.0168  0.8752  17.6649  0.0000  0.0000
0.9074  0.3771  0.0155  0.0159  0.8777  17.1140  0.0000  0.0000
0.9353  0.3458  0.0146  0.0152  0.8798  16.6688  0.0000  0.0000
0.9584  0.3097  0.0124  0.0146  0.8811  16.3120  0.0000  0.0000
0.9765  0.2661  0.0095  0.0142  0.8820  16.0398  0.0000  0.0000
0.9895  0.2080  0.0070  0.0139  0.8825  15.8486  0.0000  0.0000
0.9974  0.1241  0.0064  0.0137  0.8828  15.7352  0.0000  0.0000
1.0000  0.0000  948565098655.8619  0.0136  0.8829  15.6976  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
