		 turbine_Geometry.txt 

		 Propeller Geometry Table

Date and time: 16-Apr-2026

Propeller Diameter 	 = 10.0000 m
Number of Blades   	 = 2
Propeller Speed 	 = 24 RPM
Propeller Hub Diameter 	 = 1.5000 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.1500  0.1684  0.2102  -0.0679  0.2708  29.8853  0.0000  0.0000
0.2167  0.1313  0.2443  -0.0679  0.2985  23.6751  0.0000  0.0000
0.2830  0.1106  0.2618  -0.0679  0.3050  18.9390  0.0000  0.0000
0.3484  0.0952  0.2740  -0.0679  0.3063  15.6350  0.0000  0.0000
0.4127  0.0833  0.2805  -0.0679  0.3051  13.2434  0.0000  0.0000
0.4753  0.0740  0.2811  -0.0679  0.3026  11.4575  0.0000  0.0000
0.5359  0.0664  0.2771  -0.0679  0.2995  10.0874  0.0000  0.0000
0.5941  0.0602  0.2695  -0.0679  0.2961   9.0136  0.0000  0.0000
0.6496  0.0548  0.2599  -0.0679  0.2925   8.1574  0.0000  0.0000
0.7020  0.0500  0.2484  -0.0679  0.2890   7.4661  0.0000  0.0000
0.7510  0.0457  0.2347  -0.0679  0.2856   6.9027  0.0000  0.0000
0.7963  0.0415  0.2222  -0.0679  0.2824   6.4410  0.0000  0.0000
0.8377  0.0374  0.2123  -0.0679  0.2795   6.0617  0.0000  0.0000
0.8747  0.0332  0.2068  -0.0679  0.2768   5.7509  0.0000  0.0000
0.9074  0.0288  0.2183  -0.0679  0.2744   5.4979  0.0000  0.0000
0.9353  0.0247  0.2310  -0.0679  0.2723   5.2947  0.0000  0.0000
0.9584  0.0203  0.2352  -0.0679  0.2706   5.1353  0.0000  0.0000
0.9765  0.0151  0.2562  -0.0679  0.2693   5.0160  0.0000  0.0000
0.9895  0.0098  0.3224  -0.0679  0.2683   4.9335  0.0000  0.0000
0.9974  0.0047  0.5760  -0.0679  0.2678   4.8852  0.0000  0.0000
1.0000  0.0000    Inf  -0.0679  0.2676   4.8693  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
