		 OpenProp_Geometry.txt 

		 Propeller Geometry Table

Date and time: 2026-05-10

Propeller Diameter 	 = 0.1000 m
Number of Blades   	 = 4
Propeller Speed 	 = 9000 RPM
Propeller Hub Diameter 	 = 0.0150 m
Meanline  Type: NACA a=0.8
Thickness Type: elliptic
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.1500  0.1600  0.2056  0.0700  0.6425  53.7439  0.0000  0.0000
0.2167  0.1677  0.1851  0.0706  0.7328  47.1080  0.0000  0.0000
0.2830  0.1785  0.1614  0.0687  0.7801  41.2680  0.0000  0.0000
0.3484  0.1917  0.1366  0.0644  0.8103  36.5097  0.0000  0.0000
0.4127  0.2049  0.1141  0.0591  0.8314  32.6725  0.0000  0.0000
0.4753  0.2158  0.0963  0.0541  0.8468  29.5583  0.0000  0.0000
0.5359  0.2245  0.0820  0.0497  0.8581  27.0089  0.0000  0.0000
0.5941  0.2301  0.0704  0.0459  0.8668  24.9095  0.0000  0.0000
0.6496  0.2322  0.0613  0.0429  0.8736  23.1729  0.0000  0.0000
0.7020  0.2310  0.0538  0.0405  0.8789  21.7283  0.0000  0.0000
0.7510  0.2266  0.0474  0.0385  0.8833  20.5241  0.0000  0.0000
0.7963  0.2182  0.0423  0.0370  0.8871  19.5243  0.0000  0.0000
0.8377  0.2063  0.0383  0.0359  0.8906  18.6974  0.0000  0.0000
0.8747  0.1923  0.0352  0.0348  0.8935  18.0118  0.0000  0.0000
0.9074  0.1766  0.0328  0.0341  0.8961  17.4518  0.0000  0.0000
0.9353  0.1558  0.0324  0.0337  0.8985  17.0028  0.0000  0.0000
0.9584  0.1265  0.0319  0.0361  0.9036  16.7044  0.0000  0.0000
0.9765  0.0939  0.0274  0.0404  0.9106  16.5321  0.0000  0.0000
0.9895  0.0613  0.0198  0.0438  0.9162  16.4206  0.0000  0.0000
0.9974  0.0298  0.0105  0.0457  0.9194  16.3522  0.0000  0.0000
1.0000  0.0010  -0.0000  0.0462  0.9204  16.3285  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
