		 DuctedProp_Geometry.txt 

		 Propeller Geometry Table

Date and time: 2026-05-06

Propeller Diameter 	 = 0.1000 m
Number of Blades   	 = 4
Propeller Speed 	 = 9000 RPM
Propeller Hub Diameter 	 = 0.0200 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.2000  0.1655  0.1003  0.0788  0.6017  43.7612  0.0000  0.0000
0.2628  0.1749  0.1003  0.0733  0.6790  39.4397  0.0000  0.0000
0.3251  0.1869  0.0999  0.0666  0.7190  35.1406  0.0000  0.0000
0.3868  0.1997  0.1000  0.0602  0.7413  31.3860  0.0000  0.0000
0.4472  0.2112  0.1000  0.0547  0.7563  28.2941  0.0000  0.0000
0.5061  0.2205  0.1000  0.0500  0.7673  25.7586  0.0000  0.0000
0.5632  0.2275  0.1002  0.0462  0.7755  23.6674  0.0000  0.0000
0.6180  0.2314  0.0996  0.0433  0.7818  21.9340  0.0000  0.0000
0.6702  0.2321  0.0995  0.0412  0.7868  20.4893  0.0000  0.0000
0.7196  0.2299  0.1002  0.0397  0.7908  19.2813  0.0000  0.0000
0.7657  0.2244  0.0998  0.0391  0.7946  18.2807  0.0000  0.0000
0.8083  0.2151  0.1002  0.0393  0.7992  17.4705  0.0000  0.0000
0.8472  0.2030  0.1006  0.0402  0.8053  16.8347  0.0000  0.0000
0.8821  0.1891  0.1003  0.0419  0.8132  16.3539  0.0000  0.0000
0.9128  0.1734  0.0996  0.0447  0.8228  16.0089  0.0000  0.0000
0.9391  0.1519  0.0985  0.0498  0.8341  15.7869  0.0000  0.0000
0.9608  0.1227  0.0973  0.0633  0.8507  15.7389  0.0000  0.0000
0.9779  0.0909  0.0885  0.0815  0.8713  15.8333  0.0000  0.0000
0.9902  0.0593  0.0773  0.0961  0.8872  15.9186  0.0000  0.0000
0.9975  0.0289  0.0801  0.1049  0.8963  15.9612  0.0000  0.0000
1.0000  0.0010  1.5272  0.1077  0.8992  15.9723  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
