		 OpenProp_GUI_Geometry.txt 

		 Propeller Geometry Table

Date and time: 2026-04-25

Propeller Diameter 	 = 0.1000 m
Number of Blades   	 = 4
Propeller Speed 	 = 9000 RPM
Propeller Hub Diameter 	 = 0.0150 m
Meanline  Type: NACA a=0.8
Thickness Type: 2
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.1500  0.3312  0.0483  0.0340  0.6238  52.9300  0.0000  0.0000
0.2167  0.3673  0.0459  0.0324  0.7116  46.2678  0.0000  0.0000
0.2830  0.4005  0.0446  0.0308  0.7578  40.4457  0.0000  0.0000
0.3484  0.4246  0.0451  0.0292  0.7882  35.7568  0.0000  0.0000
0.4127  0.4398  0.0466  0.0277  0.8103  32.0080  0.0000  0.0000
0.4753  0.4488  0.0481  0.0262  0.8268  28.9738  0.0000  0.0000
0.5359  0.4539  0.0495  0.0247  0.8391  26.4917  0.0000  0.0000
0.5941  0.4562  0.0505  0.0233  0.8484  24.4445  0.0000  0.0000
0.6496  0.4563  0.0506  0.0220  0.8556  22.7446  0.0000  0.0000
0.7020  0.4540  0.0508  0.0207  0.8610  21.3260  0.0000  0.0000
0.7510  0.4487  0.0505  0.0196  0.8653  20.1391  0.0000  0.0000
0.7963  0.4397  0.0496  0.0185  0.8686  19.1472  0.0000  0.0000
0.8377  0.4261  0.0486  0.0175  0.8714  18.3221  0.0000  0.0000
0.8747  0.4070  0.0475  0.0166  0.8738  17.6397  0.0000  0.0000
0.9074  0.3813  0.0462  0.0158  0.8758  17.0782  0.0000  0.0000
0.9353  0.3490  0.0445  0.0151  0.8771  16.6209  0.0000  0.0000
0.9584  0.3121  0.0385  0.0146  0.8779  16.2552  0.0000  0.0000
0.9765  0.2678  0.0297  0.0142  0.8783  15.9763  0.0000  0.0000
0.9895  0.2089  0.0222  0.0138  0.8785  15.7805  0.0000  0.0000
0.9974  0.1242  0.0208  0.0137  0.8786  15.6643  0.0000  0.0000
1.0000  0.0000  1579009971639.4902  0.0136  0.8787  15.6259  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
