		 OpenProp_Geometry.txt 

		 Propeller Geometry Table

Date and time: 2026-04-29

Propeller Diameter 	 = 0.1000 m
Number of Blades   	 = 32
Propeller Speed 	 = 9000 RPM
Propeller Hub Diameter 	 = 0.0600 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.6000  0.0743  0.2152  0.0232  0.9202  26.0213  0.0000  0.0000
0.6314  0.0746  0.1993  0.0224  0.9276  25.0625  0.0000  0.0000
0.6626  0.0755  0.1826  0.0217  0.9325  24.1315  0.0000  0.0000
0.6934  0.0766  0.1663  0.0209  0.9369  23.2728  0.0000  0.0000
0.7236  0.0776  0.1505  0.0202  0.9409  22.4839  0.0000  0.0000
0.7531  0.0788  0.1355  0.0195  0.9444  21.7608  0.0000  0.0000
0.7816  0.0800  0.1214  0.0188  0.9475  21.1003  0.0000  0.0000
0.8090  0.0813  0.1085  0.0182  0.9502  20.4993  0.0000  0.0000
0.8351  0.0826  0.0967  0.0175  0.9525  19.9544  0.0000  0.0000
0.8598  0.0839  0.0861  0.0170  0.9545  19.4620  0.0000  0.0000
0.8828  0.0853  0.0764  0.0164  0.9559  19.0162  0.0000  0.0000
0.9042  0.0866  0.0679  0.0159  0.9571  18.6202  0.0000  0.0000
0.9236  0.0876  0.0614  0.0154  0.9581  18.2727  0.0000  0.0000
0.9411  0.0880  0.0551  0.0150  0.9589  17.9706  0.0000  0.0000
0.9564  0.0872  0.0476  0.0146  0.9596  17.7120  0.0000  0.0000
0.9696  0.0844  0.0379  0.0143  0.9601  17.4955  0.0000  0.0000
0.9804  0.0794  0.0279  0.0141  0.9605  17.3200  0.0000  0.0000
0.9889  0.0713  0.0180  0.0139  0.9608  17.1845  0.0000  0.0000
0.9951  0.0585  0.0095  0.0137  0.9610  17.0883  0.0000  0.0000
0.9988  0.0374  0.0025  0.0136  0.9611  17.0309  0.0000  0.0000
1.0000  0.0000  -305514736118.1760  0.0136  0.9612  17.0117  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
