		 PythonProp_Geometry.txt 

		 Propeller Geometry Table

Date and time: 2026-05-17

Propeller Diameter 	 = 0.0600 m
Number of Blades   	 = 4
Propeller Speed 	 = 9000 RPM
Propeller Hub Diameter 	 = 0.0277 m
Meanline  Type: NACA a=0.8
Thickness Type: elliptic
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.4617  0.2136  0.0999  0.0640  1.0616  36.2028  0.0000  0.0000
0.5039  0.2202  0.0893  0.0577  1.0547  33.6720  0.0000  0.0000
0.5459  0.2256  0.0799  0.0539  1.0701  31.9643  0.0000  0.0000
0.5873  0.2296  0.0717  0.0507  1.0818  30.3813  0.0000  0.0000
0.6280  0.2318  0.0647  0.0480  1.0900  28.9182  0.0000  0.0000
0.6677  0.2321  0.0586  0.0456  1.0960  27.5865  0.0000  0.0000
0.7061  0.2308  0.0533  0.0435  1.1005  26.3870  0.0000  0.0000
0.7429  0.2276  0.0484  0.0417  1.1041  25.3158  0.0000  0.0000
0.7781  0.2222  0.0442  0.0401  1.1072  24.3673  0.0000  0.0000
0.8113  0.2143  0.0408  0.0388  1.1100  23.5327  0.0000  0.0000
0.8423  0.2047  0.0379  0.0376  1.1124  22.8011  0.0000  0.0000
0.8710  0.1939  0.0355  0.0365  1.1145  22.1608  0.0000  0.0000
0.8972  0.1820  0.0334  0.0352  1.1161  21.6020  0.0000  0.0000
0.9207  0.1681  0.0324  0.0342  1.1173  21.1220  0.0000  0.0000
0.9413  0.1494  0.0324  0.0340  1.1191  20.7277  0.0000  0.0000
0.9590  0.1256  0.0318  0.0349  1.1216  20.4184  0.0000  0.0000
0.9737  0.0997  0.0285  0.0376  1.1264  20.2168  0.0000  0.0000
0.9851  0.0737  0.0230  0.0416  1.1328  20.1042  0.0000  0.0000
0.9934  0.0482  0.0162  0.0447  1.1379  20.0330  0.0000  0.0000
0.9983  0.0236  0.0084  0.0466  1.1409  19.9897  0.0000  0.0000
1.0000  0.0010  -0.0000  0.0472  1.1419  19.9747  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
